Company,Company Description,Market Cap,Stock Price,PE Ratio,EPS,Market Cap Real
1) Apple (AAPL),"Apple Inc., incorporated on January 3, 1977, designs, manufactures and markets mobile communication and media devices, personal computers and portable digital music players. The Company sells a range of related ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding AAPL","$1,933",$113.02,29.2,3.3,"$1,933,000,000,000"
2) Amazon (AMZN),"Amazon.com, Inc., incorporated on May 28, 1996, offers a range of products and services through its Websites. The Company operates through three segments: North America, International and Amazon Web Services ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding AMZN","$1,565","$3,125",70.43,26.04,"$1,565,000,000,000"
3) Microsoft (MSFT),"Microsoft Corporation, incorporated on September 22, 1993, is a technology company. The Company develops, licenses, and supports a range of software products, services and devices. The Companys segments include Productivity ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding MSFT","$1,560",$206.19,28.05,5.76,"$1,560,000,000,000"
4) Alphabet (GOOG),"Alphabet Inc. provides online advertising services in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It offers performance and brand advertising servi...See Company Profile ...Dividend History ...List of ETFs holding GOOG",$991.22,"$1,458.42",25.84,45.49,"$991,220,000,000"
5) Alphabet (GOOGL),"Alphabet Inc. provides online advertising services in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It offers performance and brand advertising servi...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding GOOGL",$990.76,"$1,455.60",25.67,45.49,"$990,760,000,000"
6) Facebook (FB),"Facebook, Inc. provides various products to connect and share through mobile devices, personal computers, and other surfaces worldwide. The company's products include Facebook that enables people to c...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding FB",$740.52,$259.94,25.56,8.18,"$740,520,000,000"
7) Berkshire Hathaway (BRK.B),"Berkshire Hathaway Inc. (Berkshire), incorporated on June 16, 1998, is a holding company owning subsidiaries engaged in various business activities. The Companys segments include Insurance, Burlington Northern Santa Fe, LLC ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding BRK.B",$504.72,$211.18,19.37,13690.33,"$504,720,000,000"
8) Visa (V),"Visa Inc. (Visa), incorporated on May 25, 2007, is a payments technology company that connects consumers, merchants, financial institutions, businesses, strategic partners and government entities to electronic payments. The Company ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding V",$442.29,$201.46,34.56,5.26,"$442,290,000,000"
9) Wal-Mart (WMT),"Walmart Inc. engages in the retail and wholesale operations in various formats worldwide. The company operates through three segments: Walmart U.S., Walmart International, and Sam's Club. It operates ...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding WMT",$398.14,$140.50,25.09,6.27,"$398,140,000,000"
10) Johnson and Johnson (JNJ),"Johnson & Johnson, together with its subsidiaries, researches and develops, manufactures, and sells various products in the health care field worldwide. It operates in three segments: Consumer, Pharma...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding JNJ",$385.02,$146.24,16.18,5.68,"$385,020,000,000"
11) Procter and Gamble (PG),"The Procter & Gamble Company provides branded consumer packaged goods to consumers in North America, Europe, the Asia Pacific, Greater China, Latin America, India, the Middle East, and Africa. The com...See Company Profile ...Dividend History ...Candlestick Patterns ...List of ETFs holding PG",$343.87,$138.12,23.98,4.96,"$343,870,000,000"
